Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Nie moøna poca≥owaÊ panny m≥odej;4;5.7;24 czerwiec 2011;2011;7 161;Komedia rom.;USA;1 godz. 39 min.;Rob Hedden
72 godziny;4;6.3;12 luty 2014;2014;35 405;Sensacyjny;Francja;1 godz. 57 min.;McG
MÍøczyzna imieniem Ove;6;7.6;25 grudzieÒ 2015;2015;25 475;Dramat;Szwecja;1 godz. 56 min.;Hannes Holm
Czas wymierania;8;5.8;18 lipiec 2015;2015;9 916;Dramat;Francja;1 godz. 50 min.;Miguel ¡ngel Vivas
Dom wygranych;7;5.6;26 czerwiec 2017;2017;11 331;Komedia;USA;1 godz. 28 min.;Andrew Jay Cohen
Kot Bob i ja;5;7.5;3 listopad 2016;2016;23 993;Biograficzny;Wielka Brytania;1 godz. 43 min.;Roger Spottiswoode
Fanatyk;8;6.9;18 grudzieÒ 2017;2017;33 612;Dramat;Polska;33 min.;Micha≥ Tylka
007 Quantum of Solace;6;6.7;29 paüdziernik 2008;2008;153 651;Sensacyjny;USA;1 godz. 46 min.;Marc Forster
Skyfall;NaN;7.4;23 paüdziernik 2012;2012;263 089;Sensacyjny;USA;2 godz. 23 min.;Sam Mendes
Logan Lucky;NaN;6.4;7 sierpieÒ 2017;2017;10 751;Komedia kryminalna;USA;1 godz. 59 min.;Steven Soderbergh
Wúciek≥e psy;6;8.0;21 styczeÒ 1992;1992;209 710;Thriller;USA;1 godz. 39 min.;Quentin Tarantino
Martwe z≥o;6;5.6;8 marzec 2013;2013;46 753;Horror;USA;1 godz. 30 min.;Fede ¡lvarez
Nowe szaty krÛla;6;7.4;10 grudzieÒ 2000;2000;70 220;Animacja;USA;1 godz. 18 min.;Mark Dindal
MÛj brat niedüwiedü;8;7.5;20 paüdziernik 2003;2003;108 789;Animacja;USA;1 godz. 25 min.;Aaron Blaise
Toy Story;7;7.4;19 listopad 1995;1995;181 659;Animacja;USA;1 godz. 20 min.;John Lasseter
Koralina i tajemnicze drzwi;8;7.5;5 luty 2009;2009;59 990;Animacja;USA;1 godz. 40 min.;Henry Selick
Rango;7;6.7;14 luty 2011;2011;49 372;Animacja;USA;1 godz. 47 min.;Gore Verbinski
Facet do dziecka;5;5.7;9 grudzieÒ 2011;2011;13 012;Komedia;USA;1 godz. 21 min.;David Gordon Green
Pan od muzyki;8;8.0;17 marzec 2004;2004;104 155;Dramat;Francja;1 godz. 36 min.;Christophe Barratier
Kowboje i obcy;6;5.6;29 lipiec 2011;2011;59 374;Western;USA;1 godz. 58 min.;Jon Favreau
Movie 43;6;4.8;1 styczeÒ 2013;2012;60 980;Komedia;USA;1 godz. 30 min.;Peter Farrelly
Full Metal Jacket;4;8.0;17 czerwiec 1987;1987;155 974;Dramat;USA;1 godz. 56 min.;Stanley Kubrick
Kevin sam w domu;8;7.1;10 listopad 1990;1990;406 937;Familijny;USA;1 godz. 43 min.;Chris Columbus
PokÛj;6;7.9;4 wrzesieÒ 2015;2015;184 160;Dramat;Irlandia;1 godz. 58 min.;Lenny Abrahamson
Kevin sam w Nowym Jorku;7;6.8;15 listopad 1992;1992;234 860;Familijny;USA;2 godz.;Chris Columbus
KrÛl Skorpion;NaN;6.1;15 kwiecieÒ 2002;2002;54 094;Fantasy;Belgia;1 godz. 32 min.;Chuck Russell
Mumia powraca;NaN;6.7;29 kwiecieÒ 2001;2001;94 893;Fantasy;USA;2 godz. 10 min.;Stephen Sommers
Mumia: Grobowiec Cesarza Smoka;NaN;6.1;24 lipiec 2008;2008;60 036;Fantasy;Chiny;1 godz. 52 min.;Rob Cohen
PodrÛø na Tajemniczπ WyspÍ;NaN;6.2;19 styczeÒ 2012;2012;45 930;Familijny;USA;1 godz. 34 min.;Brad Peyton
Niezniszczalni 2;NaN;6.9;8 sierpieÒ 2012;2012;120 276;Akcja;USA;1 godz. 42 min.;Simon West
Niezniszczalni;NaN;6.7;3 sierpieÒ 2010;2010;148 393;Akcja;USA;1 godz. 43 min.;Sylvester Stallone
Gliniarz w przedszkolu;NaN;5.9;21 grudzieÒ 1990;1990;40 070;Komedia kryminalna;USA;1 godz. 46 min.;Ivan Reitman
PamiÍÊ absolutna;NaN;7.2;1 czerwiec 1990;1990;65 470;Thriller;USA;1 godz. 53 min.;Paul Verhoeven
Predator;NaN;7.4;12 czerwiec 1987;1987;155 940;Akcja;USA;1 godz. 47 min.;John McTiernan
Titanic;NaN;7.3;1 listopad 1997;1997;761 125;Melodramat;USA;3 godz. 14 min.;James Cameron
Terminator;NaN;7.4;26 paüdziernik 1984;1984;244 195;Akcja;USA;1 godz. 47 min.;James Cameron
Przygody Tintina;NaN;7.0;23 paüdziernik 2011;2011;31 722;Animacja;Nowa Zelandia;1 godz. 47 min.;Steven Spielberg
Z≥ap mnie, jeúli potrafisz;NaN;7.9;16 grudzieÒ 2002;2002;315 642;Komedia kryminalna;Kanada;2 godz. 21 min.;Steven Spielberg
A.I. Sztuczna inteligencja;NaN;7.3;26 czerwiec 2001;2001;187 750;Dramat;USA;2 godz. 25 min.;Steven Spielberg
Park Jurajski;NaN;7.0;9 czerwiec 1993;1993;322 401;Przygodowy;USA;2 godz. 7 min.;Steven Spielberg
SzczÍki;NaN;7.0;20 czerwiec 1975;1975;96 343;Thriller;USA;2 godz. 4 min.;Steven Spielberg
Zaginiony åwiat: Jurassic Park;NaN;6.9;19 maj 1997;1997;91 026;Przygodowy;USA;2 godz. 9 min.;Steven Spielberg
Mr. & Mrs. Smith;NaN;6.7;7 czerwiec 2005;2005;413 282;Akcja;USA;2 godz.;Doug Liman
50 pierwszych randek;NaN;6.9;3 luty 2004;2004;161 383;Komedia rom.;USA;1 godz. 39 min.;Peter Segal
Gorπca laska;NaN;6.1;2 grudzieÒ 2002;2002;33 015;Fantasy;USA;1 godz. 44 min.;Tom Brady
Zwierzak;NaN;5.5;21 marzec 2001;2001;32 291;Komedia;USA;1 godz. 24 min.;Luke Greenfield
Super tata;NaN;6.9;17 czerwiec 1999;1999;50 279;Dramat;USA;1 godz. 33 min.;Dennis Dugan
Straø sπsiedzka;NaN;5.5;27 lipiec 2012;2012;29 543;Komedia;USA;1 godz. 42 min.;Akiva Schaffer
Jaja w tropikach;NaN;5.8;13 sierpieÒ 2008;2008;100 633;Komedia;Niemcy;1 godz. 47 min.;Ben Stiller
Ja, szpieg;NaN;6.3;23 paüdziernik 2002;2002;18 438;Komedia;USA;1 godz. 37 min.;Betty Thomas
Zoolander;NaN;5.4;28 wrzesieÒ 2001;2001;28 316;Komedia;Niemcy;1 godz. 29 min.;Ben Stiller
E.T.;NaN;7.1;26 maj 1982;1982;130 491;Familijny;USA;1 godz. 55 min.;Steven Spielberg
Indiana Jones i KrÛlestwo Kryszta≥owej Czaszki;NaN;6.6;18 maj 2008;2008;134 328;Przygodowy;USA;2 godz. 2 min.;Steven Spielberg
Harry Potter i Komnata Tajemnic;NaN;7.4;3 listopad 2002;2002;305 310;Familijny;Niemcy;2 godz. 41 min.;Chris Columbus
Harry Potter i Zakon Feniksa;NaN;7.5;28 czerwiec 2007;2007;311 284;Familijny;USA;2 godz. 18 min.;David Yates
Sin City - Miasto grzechu;NaN;7.4;28 marzec 2005;2005;263 243;Krymina≥;USA;2 godz. 4 min.;Robert Rodriguez
Odlot;NaN;7.5;13 maj 2009;2009;245 957;Animacja;USA;1 godz. 36 min.;Pete Docter
PowrÛt do przysz≥oúci II;NaN;7.5;20 listopad 1989;1989;174 080;Komedia;USA;1 godz. 48 min.;Robert Zemeckis
Potwory i spÛ≥ka;NaN;7.5;28 paüdziernik 2001;2001;202 824;Animacja;USA;1 godz. 32 min.;Pete Docter
Casino Royale;8;7.5;14 listopad 2006;2006;262 307;Sensacyjny;Czechy;2 godz. 24 min.;Martin Campbell
Szybcy i wúciekli;NaN;7.5;18 czerwiec 2001;2001;284 250;Akcja;Niemcy;1 godz. 46 min.;Rob Cohen
Harry Potter i KsiπøÍ PÛ≥krwi;NaN;7.5;6 lipiec 2009;2009;299 887;Familijny;USA;2 godz. 33 min.;David Yates
Zakochany kundel;NaN;7.6;16 czerwiec 1955;1955;114 824;Animacja;USA;1 godz. 15 min.;Hamilton Luske
Harry Potter i KamieÒ Filozoficzny;NaN;7.5;4 listopad 2001;2001;415 577;Familijny;USA;2 godz. 32 min.;Chris Columbus
ZabÛjcza broÒ;NaN;7.6;6 marzec 1987;1987;124 772;Komedia kryminalna;USA;1 godz. 53 min.;Richard Donner
Szklana pu≥apka;NaN;7.5;12 lipiec 1988;1988;214 136;Sensacyjny;USA;2 godz. 11 min.;John McTiernan
WALL∑E;NaN;7.6;23 czerwiec 2008;2008;285 229;Animacja;USA;1 godz. 38 min.;Andrew Stanton
Teoria wszystkiego;NaN;7.6;7 wrzesieÒ 2014;2014;210 032;Biograficzny;Wielka Brytania;2 godz. 3 min.;James Marsh
Harry Potter i Insygnia åmierci: CzÍúÊ I;NaN;7.5;11 listopad 2010;2010;308 451;Familijny;USA;2 godz. 26 min.;David Yates
PiÍkna i Bestia;NaN;7.6;29 wrzesieÒ 1991;1991;158 288;Animacja;USA;1 godz. 30 min.;Kirk Wise
Terminator 2: DzieÒ sπdu;NaN;7.6;1 lipiec 1991;1991;253 477;Akcja;Francja;2 godz. 17 min.;James Cameron
Matrix;NaN;7.6;24 marzec 1999;1999;806 719;Akcja;Australia;2 godz. 16 min.;Lilly Wachowski
Harry Potter i Czara Ognia;NaN;7.6;6 listopad 2005;2005;393 186;Familijny;USA;2 godz. 37 min.;Mike Newell
Krucjata Bourne'a;NaN;7.6;15 lipiec 2004;2004;152 076;Sensacyjny;Niemcy;1 godz. 48 min.;Paul Greengrass
Kraina lodu;NaN;7.5;17 listopad 2013;2013;253 907;Animacja;USA;1 godz. 48 min.;Chris Buck
Bez mojej zgody;NaN;7.6;26 czerwiec 2009;2009;112 791;Dramat obyczajowy;USA;1 godz. 49 min.;Nick Cassavetes
Epoka lodowcowa;NaN;7.6;12 marzec 2002;2002;481 588;Animacja;USA;1 godz. 21 min.;Chris Wedge
Zaplπtani;NaN;7.6;24 listopad 2010;2010;211 367;Animacja;USA;1 godz. 36 min.;Nathan Greno
ToøsamoúÊ Bourne'a;NaN;7.6;6 czerwiec 2002;2002;229 319;Sensacyjny;Czechy;1 godz. 59 min.;Doug Liman
Iron Man;NaN;7.6;14 kwiecieÒ 2008;2008;360 799;Akcja;USA;2 godz. 6 min.;Jon Favreau
Harry Potter i wiÍzieÒ Azkabanu;NaN;7.7;23 maj 2004;2004;397 370;Familijny;USA;2 godz. 21 min.;Alfonso CuarÛn
Uprowadzona;NaN;7.7;27 luty 2008;2008;344 772;Sensacyjny;Francja;1 godz. 33 min.;Pierre Morel
Jak wytresowaÊ smoka 2;NaN;7.7;16 maj 2014;2014;163 085;Animacja;USA;1 godz. 45 min.;Dean DeBlois
Poszukiwacze zaginionej Arki;NaN;7.7;12 czerwiec 1981;1981;262 825;Przygodowy;USA;1 godz. 55 min.;Steven Spielberg
Harry Potter i Insygnia åmierci: CzÍúÊ II;NaN;7.7;7 lipiec 2011;2011;336 492;Familijny;USA;2 godz. 10 min.;David Yates
Edward NoøycorÍki;NaN;7.7;6 grudzieÒ 1990;1990;391 303;Dramat;USA;1 godz. 45 min.;Tim Burton
åniadanie u Tiffany'ego;NaN;7.8;5 paüdziernik 1961;1961;150 762;Melodramat;USA;1 godz. 55 min.;Blake Edwards
Sherlock Holmes;NaN;7.7;14 grudzieÒ 2009;2009;436 049;Krymina≥;Niemcy;2 godz. 8 min.;Guy Ritchie
Jak zostaÊ krÛlem;NaN;7.8;6 wrzesieÒ 2010;2010;317 457;Biograficzny;Australia;1 godz. 58 min.;Tom Hooper
Wo≥yÒ;NaN;7.8;23 wrzesieÒ 2016;2016;146 049;Dramat;Polska;2 godz. 30 min.;Wojciech Smarzowski
Jak wytresowaÊ smoka;NaN;7.9;18 marzec 2010;2010;290 634;Animacja;USA;1 godz. 38 min.;Dean DeBlois
Ojciec chrzestny III;NaN;8.0;20 grudzieÒ 1990;1990;173 592;Dramat;USA;2 godz. 42 min.;Francis Ford Coppola
W≥adca Pierúcieni: Druøyna Pierúcienia;NaN;8.0;10 grudzieÒ 2001;2001;704 918;Fantasy;Nowa Zelandia;2 godz. 58 min.;Peter Jackson
Gran Torino;8;8.2;9 grudzieÒ 2008;2008;416 366;Dramat;Niemcy;1 godz. 56 min.;Clint Eastwood
Ojciec chrzestny II;8;8.5;12 grudzieÒ 1974;1974;269 147;Dramat;USA;3 godz. 20 min.;Francis Ford Coppola
Ojciec chrzestny;NaN;8.6;15 marzec 1972;1972;523 138;Dramat;USA;2 godz. 55 min.;Francis Ford Coppola
Dobrze siÍ k≥amie w mi≥ym towarzystwie;NaN;7.7;11 luty 2016;2016;161 593;Dramat;W≥ochy;1 godz. 37 min.;Paolo Genovese
McImperium;7;6.9;24 listopad 2016;2016;70 118;Biograficzny;USA;1 godz. 55 min.;John Lee Hancock
Bodyguard Zawodowiec;8;7.2;10 sierpieÒ 2017;2017;103 303;Komedia;Chiny;1 godz. 58 min.;Patrick Hughes
Golem z Limehouse;NaN;6.1;10 wrzesieÒ 2016;2016;4 205;Krymina≥;Wielka Brytania;1 godz. 45 min.;Juan Carlos Medina
Dunkierka;7;7.3;13 lipiec 2017;2017;163 105;Dramat;Francja;1 godz. 46 min.;Christopher Nolan
Legalna blondynka 2;5;5.8;30 czerwiec 2003;2003;62 942;Komedia;USA;1 godz. 35 min.;Charles Herman-Wurmfeld
Legalna blondynka;NaN;6.1;26 czerwiec 2001;2001;199 527;Komedia;USA;1 godz. 36 min.;Robert Luketic
Kowboj z Szanghaju;NaN;7.0;19 maj 2000;2000;40 571;Komedia;Chiny;1 godz. 50 min.;Tom Dey
Poznaj mojego tatÍ;8;6.9;6 paüdziernik 2000;2000;120 228;Komedia;USA;1 godz. 48 min.;Jay Roach
Rycerze z Szanghaju;NaN;7.0;30 styczeÒ 2003;2003;42 158;Komedia;Chiny;1 godz. 54 min.;David Dobkin
Poznaj moich rodzicÛw;7;6.7;16 grudzieÒ 2004;2004;187 151;Komedia;USA;1 godz. 55 min.;Jay Roach
W 80 dni dooko≥a úwiata;NaN;6.4;13 czerwiec 2004;2004;49 841;Komedia;Irlandia;2 godz.;Frank Coraci
Polowanie na druhny;NaN;6.5;13 lipiec 2005;2005;94 180;Komedia rom.;USA;1 godz. 59 min.;David Dobkin
ChoÊ goni nas czas;NaN;7.6;16 grudzieÒ 2007;2007;245 970;Dramat;USA;1 godz. 37 min.;Rob Reiner
John Carter;NaN;6.6;22 luty 2012;2012;92 750;Przygodowy;USA;2 godz. 12 min.;Andrew Stanton
Mali agenci. Wyúcig z czasem 4D;NaN;5.3;18 sierpieÒ 2011;2011;11 694;Familijny;USA;1 godz. 29 min.;Robert Rodriguez
Mali agenci 2: Wyspa marzeÒ;8;5.4;7 sierpieÒ 2002;2002;39 760;Familijny;USA;1 godz. 39 min.;Robert Rodriguez
Mali Agenci 3D: TrÛjwymiarowy odjazd;NaN;4.9;13 lipiec 2003;2003;40 880;Dla dzieci;USA;1 godz. 24 min.;Robert Rodriguez
Mali agenci;NaN;5.3;18 marzec 2001;2001;60 252;Familijny;USA;1 godz. 28 min.;Robert Rodriguez
Karbala;NaN;6.7;8 wrzesieÒ 2015;2015;55 605;Dramat;Polska;1 godz. 55 min.;Krzysztof £ukaszewicz
Snowden;NaN;6.9;21 lipiec 2016;2016;51 888;Biograficzny;Francja;2 godz. 14 min.;Oliver Stone
Atomic Blonde;7;6.5;12 marzec 2017;2017;64 072;Thriller;Niemcy;1 godz. 55 min.;David Leitch
Don't Think Twice;7;5.7;13 marzec 2016;2016;698;Dramat;USA;1 godz. 32 min.;Mike Birbiglia
Uúpieni;7;5.0;1 kwiecieÒ 2014;2014;14 371;Horror;USA;1 godz. 38 min.;John Pogue
Ciekawy przypadek Benjamina Buttona;6;7.7;10 grudzieÒ 2008;2008;490 365;Fantasy;USA;2 godz. 46 min.;David Fincher
Sherlock Holmes: Gra cieni;3;7.6;10 grudzieÒ 2011;2011;267 883;Krymina≥;USA;2 godz. 9 min.;Guy Ritchie
Transformers: Ostatni Rycerz;NaN;5.8;18 czerwiec 2017;2017;50 940;Akcja;Chiny;2 godz. 34 min.;Michael Bay
GoúÊ;NaN;6.3;17 styczeÒ 2014;2014;33 726;Thriller;USA;1 godz. 39 min.;Adam Wingard
Punisher;4;6.6;12 kwiecieÒ 2004;2004;52 749;Sensacyjny;Niemcy;2 godz. 4 min.;Jonathan Hensleigh
Kac Vegas III;6;6.2;20 maj 2013;2013;167 701;Komedia;USA;1 godz. 40 min.;Todd Phillips
Jak dogryüÊ mafii;8;5.1;8 czerwiec 2017;2017;10 070;Komedia;USA;1 godz. 34 min.;Mark Cullen
PowieúÊ Henry'ego;7;7.2;16 czerwiec 2017;2017;13 624;Dramat;USA;1 godz. 45 min.;Colin Trevorrow
6 dni;5;6.1;3 sierpieÒ 2017;2017;7 113;Akcja;Nowa Zelandia;1 godz. 34 min.;Toa Fraser
By≥ sobie pies;6;7.8;19 styczeÒ 2017;2017;59 626;Familijny;USA;1 godz. 40 min.;Lasse Hallstrˆm
Nienawistna Ûsemka;4;7.6;7 grudzieÒ 2015;2015;208 819;Western;USA;2 godz. 48 min.;Quentin Tarantino
X+Y;7;7.2;5 wrzesieÒ 2014;2014;12 201;Dramat;Wielka Brytania;1 godz. 51 min.;Morgan Matthews
Øycie jest piÍkne;8;8.4;20 grudzieÒ 1997;1997;274 835;Dramat;W≥ochy;1 godz. 56 min.;Roberto Benigni
Boska Florence;7;6.9;23 kwiecieÒ 2016;2016;54 714;Biograficzny;Francja;1 godz. 50 min.;Stephen Frears
Nago;6;5.6;11 sierpieÒ 2017;2017;16 601;Komedia;USA;1 godz. 36 min.;Michael Tiddes
Kac Vegas;9;7.3;30 maj 2009;2009;712 299;Komedia;Niemcy;1 godz. 40 min.;Todd Phillips
Nice Guys. RÛwni goúcie;8;6.7;15 maj 2016;2016;98 951;Komedia kryminalna;USA;1 godz. 56 min.;Shane Black
Miesiπc miodowy;6;5.0;7 marzec 2014;2014;7 253;Horror;USA;1 godz. 27 min.;Leigh Janiak
To przychodzi po zmroku;8;5.4;9 czerwiec 2017;2017;24 507;Horror;USA;1 godz. 37 min.;Trey Edward Shults
Paterson;7;7.0;16 maj 2016;2016;44 175;Dramat;Francja;1 godz. 53 min.;Jim Jarmusch
Gold;8;6.9;29 grudzieÒ 2016;2016;28 314;Dramat;USA;2 godz. 1 min.;Stephen Gaghan
1920 Bitwa Warszawska;4;4.1;30 wrzesieÒ 2011;2011;73 676;Dramat;Polska;1 godz. 50 min.;Jerzy Hoffman
Gwiezdne wojny: CzÍúÊ III - Zemsta SithÛw;8;7.6;12 maj 2005;2005;244 924;Przygodowy;USA;2 godz. 20 min.;George Lucas
Spider-Man 3;NaN;6.6;3 kwiecieÒ 2007;2007;132 060;Akcja;USA;2 godz. 19 min.;Sam Raimi
Spider-Man 2;NaN;6.7;22 czerwiec 2004;2004;145 433;Akcja;USA;2 godz. 7 min.;Sam Raimi
Spider-Man;NaN;6.7;30 kwiecieÒ 2002;2002;322 734;Akcja;USA;2 godz. 1 min.;Sam Raimi
Helikopter w ogniu;8;7.8;18 grudzieÒ 2001;2001;303 903;Dramat;USA;2 godz. 24 min.;Ridley Scott
T2: Trainspotting;7;7.0;22 styczeÒ 2017;2017;34 295;Dramat;Wielka Brytania;1 godz. 57 min.;Danny Boyle
The Circle. Krπg;8;5.4;26 kwiecieÒ 2017;2017;44 963;Thriller;USA;1 godz. 50 min.;James Ponsoldt
Syndrom berliÒski;7;6.1;20 styczeÒ 2017;2017;5 621;Thriller;Australia;1 godz. 56 min.;Cate Shortland
KsiÍga ocalenia;4;7.0;11 styczeÒ 2010;2010;144 285;Dramat;USA;1 godz. 58 min.;Albert Hughes
Gwiezdne wojny: CzÍúÊ II - Atak klonÛw;6;7.2;12 maj 2002;2002;215 760;Przygodowy;USA;2 godz. 22 min.;George Lucas
Gwiezdne wojny: CzÍúÊ I - Mroczne widmo;7;7.2;16 maj 1999;1999;269 808;Przygodowy;USA;2 godz. 16 min.;George Lucas
W ciemnoúÊ. Star Trek;7;7.1;2 maj 2013;2013;82 255;Akcja;USA;2 godz. 9 min.;J.J. Abrams
Annabelle: Narodziny z≥a;5;6.2;19 czerwiec 2017;2017;59 838;Horror;USA;1 godz. 49 min.;David F. Sandberg
Zakochany Nowy Jork;NaN;6.3;14 wrzesieÒ 2008;2008;33 831;Melodramat;USA;1 godz. 43 min.;Randall Balsmeyer
Thor;7;6.9;17 kwiecieÒ 2011;2011;225 043;Fantasy;USA;1 godz. 54 min.;Kenneth Branagh
Batman - Poczπtek;NaN;7.6;31 maj 2005;2005;344 101;Akcja;USA;2 godz. 20 min.;Christopher Nolan
Leon zawodowiec;NaN;8.1;14 wrzesieÒ 1994;1994;818 210;Dramat;Francja;1 godz. 50 min.;Luc Besson
KrÛl Lew;8;8.2;15 czerwiec 1994;1994;557 080;Animacja;USA;1 godz. 29 min.;Rob Minkoff
W≥adca Pierúcieni: Dwie wieøe;9;8.3;5 grudzieÒ 2002;2002;487 084;Fantasy;Nowa Zelandia;2 godz. 59 min.;Peter Jackson
Duet na øÛ≥tych papierach;4;5.2;7 wrzesieÒ 2013;2013;4 896;Dramat;USA;1 godz. 52 min.;Matthew Weiner
Moon;7;7.4;23 styczeÒ 2009;2009;91 414;Dramat;Wielka Brytania;1 godz. 37 min.;Duncan Jones
Wonder Woman;6;6.6;15 maj 2017;2017;130 184;Akcja;Chiny;2 godz. 21 min.;Patty Jenkins
Destrukcja;7;6.9;10 wrzesieÒ 2015;2015;43 056;Dramat;USA;1 godz. 41 min.;Jean-Marc VallÈe
Oddzia≥;7;5.5;13 wrzesieÒ 2010;2010;13 610;Horror;USA;1 godz. 28 min.;John Carpenter
Aplik@cja;6;4.1;22 paüdziernik 2016;2016;4 969;Horror;USA;1 godz. 31 min.;Abel Vang
Poltergeist;5;4.5;18 maj 2015;2015;25 454;Horror;USA;1 godz. 33 min.;Gil Kenan
Baby Driver;5;7.1;11 marzec 2017;2017;172 533;Komedia;USA;1 godz. 53 min.;Edgar Wright
Dzieciak rzπdzi;7;6.6;10 marzec 2017;2017;55 225;Animacja;USA;1 godz. 37 min.;Tom McGrath
Gorzka siedemnastka;8;6.8;16 wrzesieÒ 2016;2016;26 950;Dramat;Chiny;1 godz. 44 min.;Kelly Fremon Craig
Wojna o planetÍ ma≥p;7;7.0;10 lipiec 2017;2017;50 998;Dramat;Kanada;2 godz. 20 min.;Matt Reeves
Mumia;9;5.4;22 maj 2017;2017;62 828;Fantasy;Chiny;1 godz. 50 min.;Alex Kurtzman
Mroczna wieøa;4;5.5;2 sierpieÒ 2017;2017;61 892;Fantasy;USA;1 godz. 35 min.;Nikolaj Arcel
Gnijπca panna m≥oda;5;7.5;7 wrzesieÒ 2005;2005;218 986;Animacja;USA;1 godz. 16 min.;Tim Burton
Umys≥ w ogniu;9;7.0;14 wrzesieÒ 2016;2016;21 568;Biograficzny;Irlandia;1 godz. 35 min.;Gerard Barrett
Baywatch. S≥oneczny patrol;8;6.0;12 maj 2017;2017;80 564;Komedia;USA;1 godz. 56 min.;Seth Gordon
Piraci z KaraibÛw: Klπtwa Czarnej Per≥y;4;7.7;28 czerwiec 2003;2003;715 598;Fantasy;USA;2 godz. 23 min.;Gore Verbinski
Piraci z KaraibÛw: Skrzynia umarlaka;8;7.8;24 czerwiec 2006;2006;410 557;Fantasy;USA;2 godz. 30 min.;Gore Verbinski
Piraci z KaraibÛw: Na kraÒcu úwiata;7;7.7;19 maj 2007;2007;379 271;Fantasy;USA;2 godz. 49 min.;Gore Verbinski
Jeüdziec znikπd;7;6.6;22 czerwiec 2013;2013;120 730;Przygodowy;USA;2 godz. 29 min.;Gore Verbinski
Lekarstwo na øycie;7;6.4;15 luty 2017;2016;43 854;Horror;Niemcy;2 godz. 26 min.;Gore Verbinski
Loft;6;6.5;14 paüdziernik 2014;2014;44 922;Thriller;Belgia;1 godz. 48 min.;Erik Van Looy
Witamy na Hawajach;5;5.5;27 maj 2015;2015;34 779;Przygodowy;USA;1 godz. 45 min.;Cameron Crowe
Ma≥e z≥o;6;5.3;1 wrzesieÒ 2017;2017;8 181;Horror;USA;1 godz. 34 min.;Eli Craig
Vinci;4;7.1;13 wrzesieÒ 2004;2004;245 035;Komedia kryminalna;Polska;1 godz. 48 min.;Juliusz Machulski
Ko≥ysanka;7;6.4;12 luty 2010;2010;82 539;Czarna komedia;Polska;1 godz. 35 min.;Juliusz Machulski
Notatnik úmierci;7;4.4;24 sierpieÒ 2017;2017;29 493;Fantasy;USA;1 godz. 41 min.;Adam Wingard
Wcielenie;4;5.6;1 grudzieÒ 2016;2016;5 269;Horror;USA;1 godz. 31 min.;Brad Peyton
Obcy: Przymierze;4;5.7;4 maj 2017;2017;72 166;Horror;USA;2 godz. 2 min.;Ridley Scott
Prometeusz;7;6.3;11 kwiecieÒ 2012;2012;177 310;Horror;USA;2 godz. 4 min.;Ridley Scott
Straønicy Galaktyki vol. 2;9;7.6;10 kwiecieÒ 2017;2017;153 954;Akcja;USA;2 godz. 16 min.;James Gunn
Zaginione miasto Z;6;6.4;15 paüdziernik 2016;2016;19 150;Biograficzny;USA;2 godz. 21 min.;James Gray
Zombie express;7;6.7;13 maj 2016;2016;36 068;Dramat;Korea Po≥udniowa;1 godz. 58 min.;Sang-ho Yeon
Szofer do us≥ug;5;4.9;5 sierpieÒ 2016;2016;2 607;Komedia;USA;1 godz. 29 min.;Lisa Addario
31;6;4.9;23 styczeÒ 2016;2016;3 421;Horror;USA;1 godz. 42 min.;Rob Zombie
Wendeta;6;7.0;3 wrzesieÒ 2016;2016;13 068;Thriller;Belgia;2 godz. 28 min.;Martin Koolhoven
Jak dogoniÊ szczÍúcie;8;6.8;14 sierpieÒ 2014;2014;19 823;Dramat;Kanada;2 godz.;Peter Chelsom
W starym, dobrym stylu;8;7.0;5 kwiecieÒ 2017;2017;88 256;Komedia kryminalna;USA;1 godz. 36 min.;Zach Braff
Baba Jaga;6;4.8;29 wrzesieÒ 2016;2016;21 579;Horror;Wielka Brytania;1 godz. 35 min.;Caradog W. James
ObecnoúÊ 2;5;7.1;7 czerwiec 2016;2016;114 176;Horror;USA;2 godz. 14 min.;James Wan
Babskie wakacje;7;5.2;10 maj 2017;2017;12 521;Komedia;USA;1 godz. 30 min.;Jonathan Levine
Najlepsze najgorsze wakacje;7;6.8;21 styczeÒ 2013;2013;48 944;Dramat;USA;1 godz. 43 min.;Nat Faxon
Jumper;5;6.8;6 luty 2008;2008;194 508;Przygodowy;Kanada;1 godz. 28 min.;Doug Liman
Charlie i fabryka czekolady;7;7.1;10 lipiec 2005;2005;333 963;Familijny;USA;1 godz. 55 min.;Tim Burton
Azyl;6;7.0;29 marzec 2002;2002;95 730;Thriller;USA;1 godz. 47 min.;David Fincher
ZostaÒ, jeúli kochasz;8;7.1;18 sierpieÒ 2014;2014;109 260;Melodramat;USA;1 godz. 46 min.;R.J. Cutler
Kiedy gasnπ úwiat≥a;7;6.2;8 czerwiec 2016;2016;54 454;Horror;USA;1 godz. 21 min.;David F. Sandberg
Moris z Ameryki;4;5.5;22 styczeÒ 2016;2016;783;Dramat;Niemcy;1 godz. 31 min.;Chad Hartigan
Shrek;8;7.8;22 kwiecieÒ 2001;2001;810 892;Animacja;USA;1 godz. 30 min.;Andrew Adamson
Lobster;8;6.8;15 maj 2015;2015;85 688;Thriller;Francja;1 godz. 58 min.;Jorgos Lantimos
